date,equity,cash,borrowed,holdings_val,leverage,drawdown,num_positions,active_holdings,regime
2011-12-15,687.83,34.23,0.0,653.6,0.95,42.62,2,"ISRG,FAST",Bull_MidVol
2011-12-16,695.59,34.23,0.0,661.37,0.95,41.97,2,"ISRG,FAST",Bull_MidVol
2011-12-19,696.19,34.23,0.0,661.96,0.95,41.92,2,"ISRG,FAST",Bull_MidVol
2011-12-20,717.9,34.23,0.0,683.67,0.95,40.11,2,"ISRG,FAST",Bull_MidVol
2011-12-21,714.63,34.23,0.0,680.4,0.95,40.39,2,"ISRG,FAST",Bull_MidVol
2011-12-22,719.23,34.23,0.0,685.0,0.95,40.0,2,"ISRG,FAST",Bull_MidVol
2011-12-23,733.49,34.23,0.0,699.26,0.95,38.81,2,"ISRG,FAST",Bull_MidVol
2011-12-27,739.93,34.23,0.0,705.7,0.95,38.28,2,"ISRG,FAST",Bull_MidVol
2011-12-28,733.93,34.23,0.0,699.7,0.95,38.78,2,"ISRG,FAST",Bull_MidVol
2011-12-29,745.15,34.23,0.0,710.92,0.95,37.84,2,"ISRG,FAST",Bull_MidVol
2011-12-30,709.41,65.82,0.0,643.59,0.91,40.82,2,"MELI,MA",Bull_MidVol
2012-01-03,711.1,65.82,0.0,645.28,0.91,40.68,2,"MELI,MA",Bull_MidVol
2012-01-04,693.85,65.82,0.0,628.03,0.91,42.12,2,"MELI,MA",Bull_MidVol
2012-01-05,693.69,65.82,0.0,627.87,0.91,42.13,2,"MELI,MA",Bull_MidVol
2012-01-06,679.68,65.82,0.0,613.86,0.9,43.3,2,"MELI,MA",Bull_MidVol
2012-01-09,681.86,65.82,0.0,616.04,0.9,43.12,2,"MELI,MA",Bull_MidVol
2012-01-10,695.25,65.82,0.0,629.43,0.91,42.0,2,"MELI,MA",Bull_MidVol
2012-01-11,687.3,65.82,0.0,621.48,0.9,42.67,2,"MELI,MA",Bull_MidVol
2012-01-12,697.35,65.82,0.0,631.53,0.91,41.83,2,"MELI,MA",Bull_MidVol
2012-01-13,693.31,65.82,0.0,627.49,0.91,42.17,2,"MELI,MA",Bull_MidVol
2012-01-17,701.29,65.82,0.0,635.47,0.91,41.5,2,"MELI,MA",Bull_LowVol
2012-01-18,708.66,65.82,0.0,642.84,0.91,40.88,2,"MELI,MA",Bull_MidVol
2012-01-19,711.95,65.82,0.0,646.13,0.91,40.61,2,"MELI,MA",Bull_LowVol
2012-01-20,697.04,65.82,0.0,631.22,0.91,41.85,2,"MELI,MA",Bull_LowVol
2012-01-23,695.42,65.82,0.0,629.6,0.91,41.99,2,"MELI,MA",Bull_LowVol
2012-01-24,702.6,65.82,0.0,636.78,0.91,41.39,2,"MELI,MA",Bull_LowVol
2012-01-25,709.06,65.82,0.0,643.24,0.91,40.85,2,"MELI,MA",Bull_LowVol
2012-01-26,706.79,65.82,0.0,640.97,0.91,41.04,2,"MELI,MA",Bull_LowVol
2012-01-27,713.31,65.82,0.0,647.49,0.91,40.5,2,"MELI,MA",Bull_LowVol
2012-01-30,711.07,65.82,0.0,645.25,0.91,40.68,2,"MELI,MA",Bull_LowVol
2012-01-31,702.1,0.0,698.25,1400.35,1.99,41.43,2,"MA,FAST",Bull_LowVol
2012-02-01,712.28,-0.09,698.25,1410.61,1.98,40.58,2,"MA,FAST",Bull_LowVol
2012-02-02,747.83,-0.17,698.25,1446.25,1.93,37.62,2,"MA,FAST",Bull_LowVol
2012-02-03,785.48,-0.26,698.25,1483.99,1.89,34.48,2,"MA,FAST",Bull_LowVol
2012-02-06,782.6,-0.35,698.25,1481.2,1.89,34.72,2,"MA,FAST",Bull_LowVol
2012-02-07,785.38,-0.44,698.25,1484.06,1.89,34.48,2,"MA,FAST",Bull_LowVol
2012-02-08,801.99,-0.52,698.25,1500.76,1.87,33.1,2,"MA,FAST",Bull_LowVol
2012-02-09,793.01,-0.61,698.25,1491.87,1.88,33.85,2,"MA,FAST",Bull_LowVol
2012-02-10,796.32,-0.7,698.25,1495.27,1.88,33.57,2,"MA,FAST",Bull_LowVol
2012-02-13,836.1,-0.79,698.25,1535.13,1.84,30.25,2,"MA,FAST",Bull_LowVol
2012-02-14,846.23,-0.87,698.25,1545.35,1.83,29.41,2,"MA,FAST",Bull_LowVol
