Ticker,EntryDate,ExitDate,EP,XP,Ret,Reason,GainLoss
URI,2017-01-03,2017-02-01,104.04,122.54,17.78,RebalanceExit,1054.53
MU,2017-02-01,2017-03-01,23.87,23.52,-1.47,RebalanceExit,-80.93
URI,2017-03-01,2017-04-28,126.14,107.56,-14.73,StopLoss,-1300.24
AMD,2016-07-01,2017-07-03,6.81,12.55,84.43,RebalanceExit,11918.04
MELI,2017-07-03,2017-08-01,254.23,287.68,13.16,RebalanceExit,434.85
MU,2017-08-01,2017-09-01,27.57,31.27,13.44,RebalanceExit,1018.78
VRTX,2017-09-01,2017-11-01,160.99,147.12,-8.61,RebalanceExit,-2065.68
SHOP,2017-05-01,2017-12-01,9.31,10.38,11.51,RebalanceExit,3677.1
NVDA,2017-11-01,2017-12-01,5.17,4.91,-5.04,RebalanceExit,-1053.93
LRCX,2017-12-01,2018-01-02,16.91,16.46,-2.64,RebalanceExit,-427.33
MU,2017-12-01,2018-02-01,40.75,41.91,2.83,RebalanceExit,611.66
TEAM,2018-01-02,2018-02-01,46.02,53.37,15.96,RebalanceExit,2101.36
CAT,2018-02-01,2018-03-01,135.38,128.64,-4.98,RebalanceExit,-1139.5
URI,2018-02-01,2018-03-01,174.22,167.95,-3.6,RebalanceExit,-696.12
MELI,2018-03-01,2018-04-02,389.4,347.62,-10.73,RebalanceExit,-919.18
AMZN,2018-04-02,2018-05-01,71.01,78.02,9.87,RebalanceExit,861.79
MU,2018-05-01,2018-06-01,44.54,57.24,28.52,RebalanceExit,2274.06
VLO,2018-06-01,2018-08-01,88.95,84.72,-4.76,RebalanceExit,-1134.57
NFLX,2018-03-01,2018-09-04,34.3,36.61,6.72,RebalanceExit,2273.12
FTNT,2018-08-01,2018-10-01,15.39,18.58,20.69,RebalanceExit,5234.72
TEAM,2018-10-01,2018-10-09,97.36,80.53,-17.28,StopLoss,-2221.05
AMD,2018-09-04,2018-10-22,28.12,24.43,-13.11,StopLoss,-6192.41
MDB,2018-11-01,2018-11-14,81.65,70.36,-13.83,StopLoss,-530.57
AMD,2018-11-01,2018-12-03,18.44,22.44,21.68,RebalanceExit,3342.45
MDB,2018-12-03,2018-12-06,86.15,82.85,-3.83,MacroBearCash,-676.83
FTNT,2018-12-03,2018-12-06,15.27,14.3,-6.39,MacroBearCash,-282.17
TEAM,2019-02-01,2019-04-01,103.46,113.82,10.01,RebalanceExit,880.37
MELI,2019-04-01,2019-05-01,516.81,487.25,-5.72,RebalanceExit,-2423.29
MDB,2019-02-01,2019-07-01,96.16,155.18,61.37,RebalanceExit,21540.77
ZS,2019-05-01,2019-07-01,69.02,78.11,13.17,RebalanceExit,2535.88
MELI,2019-07-01,2019-08-01,627.91,623.79,-0.66,RebalanceExit,-222.38
MDB,2019-08-01,2019-09-03,143.08,150.54,5.21,RebalanceExit,2066.42
ZS,2019-09-03,2019-09-12,68.21,50.61,-25.81,StopLoss,-2870.07
SHOP,2019-07-01,2019-12-02,31.0,33.57,8.28,RebalanceExit,5594.56
KLAC,2019-10-01,2020-01-02,15.39,16.75,8.78,RebalanceExit,4071.89
LRCX,2019-12-02,2020-02-03,24.69,27.87,12.84,RebalanceExit,5829.51
AMD,2020-01-02,2020-03-13,46.9,42.16,-10.12,StopLoss,-5338.1
TSLA,2020-02-03,2020-03-13,44.96,39.63,-11.86,StopLoss,-5851.93
MRNA,2020-04-01,2020-10-01,61.64,69.53,12.79,RebalanceExit,30329.33
SHOP,2020-10-01,2020-11-02,103.16,93.36,-9.5,RebalanceExit,-4829.56
DDOG,2020-11-02,2020-12-01,91.87,98.5,7.22,RebalanceExit,3243.01
NET,2020-12-01,2021-01-04,76.86,77.5,0.84,RebalanceExit,800.49
MRNA,2021-01-04,2021-05-03,107.29,183.8,71.32,RebalanceExit,482791.82
AMAT,2021-05-03,2021-06-01,128.42,133.05,3.61,RebalanceExit,48545.35
TSLA,2020-04-01,2021-07-01,156.37,227.85,45.71,RebalanceExit,264663.35
AMAT,2021-07-01,2021-08-02,135.78,135.0,-0.58,RebalanceExit,-2453.82
NET,2021-08-02,2021-11-01,119.33,194.65,63.11,RebalanceExit,1125725.38
MRNA,2021-06-01,2021-11-11,274.41,227.55,-17.08,StopLoss,-648213.8
MDB,2021-11-01,2021-12-01,522.26,501.72,-3.93,RebalanceExit,-45569.24
NET,2021-12-01,2021-12-06,190.22,153.39,-19.36,StopLoss,-359099.66
TEAM,2021-12-01,2022-01-03,383.92,380.21,-0.97,RebalanceExit,-4477.08
NET,2022-01-03,2022-01-06,131.14,103.46,-21.11,StopLoss,-94842.62
NVDA,2022-01-03,2022-01-20,29.74,25.21,-15.22,StopLoss,-92877.14
ON,2022-02-01,2022-03-01,59.36,62.47,5.24,RebalanceExit,16152.83
NVDA,2022-02-01,2022-03-01,25.04,24.2,-3.36,RebalanceExit,-8732.37
XOM,2022-03-01,2022-03-03,67.77,68.63,1.27,MacroBearCash,4805.49
MPC,2022-03-01,2022-03-03,71.46,69.84,-2.26,MacroBearCash,-4457.27
XOM,2022-04-01,2022-04-07,70.55,72.05,2.13,MacroBearCash,7402.01
MPC,2022-04-01,2022-04-07,77.58,78.11,0.69,MacroBearCash,1566.32
SMCI,2023-02-01,2023-03-01,7.2,9.91,37.57,RebalanceExit,250244.23
GILD,2023-02-01,2023-03-01,74.73,71.37,-4.49,RebalanceExit,-7480.12
URI,2023-03-01,2023-03-16,451.69,374.05,-17.19,StopLoss,-101858.13
NFLX,2023-03-01,2023-04-03,32.17,34.16,6.19,RebalanceExit,35844.86
SMCI,2023-04-03,2023-06-01,10.66,22.65,112.43,RebalanceExit,1247456.95
META,2023-06-01,2023-07-03,263.72,284.05,7.71,RebalanceExit,253720.66
NVDA,2023-04-03,2023-09-01,31.49,49.64,57.64,RebalanceExit,609306.58
PLTR,2023-09-01,2023-10-02,15.17,16.02,5.63,RebalanceExit,59881.19
SMCI,2023-07-03,2023-12-01,27.02,26.21,-2.98,RebalanceExit,-155501.21
NVDA,2023-10-02,2023-12-01,43.97,46.41,5.55,RebalanceExit,33336.98
META,2023-12-01,2024-01-02,322.81,348.08,7.83,RebalanceExit,279945.66
MDB,2023-12-01,2024-01-02,420.24,404.23,-3.81,RebalanceExit,-76765.43
PLTR,2024-01-02,2024-02-01,16.96,16.2,-4.47,RebalanceExit,-90275.41
UBER,2024-02-01,2024-03-01,66.15,79.46,20.11,RebalanceExit,237779.5
CRWD,2024-01-02,2024-04-01,65.5,80.21,22.46,RebalanceExit,939321.17
SMCI,2024-03-01,2024-04-22,88.23,73.15,-17.09,StopLoss,-906917.1
NVDA,2024-04-01,2024-04-22,90.19,77.93,-13.6,StopLoss,-238789.2
SMCI,2024-05-01,2024-07-31,79.05,70.96,-10.23,StopLoss,-426719.16
SMCI,2024-08-01,2024-08-08,70.49,49.67,-29.54,StopLoss,-132631.46
TSM,2024-09-03,2024-10-01,163.88,171.45,4.62,RebalanceExit,27747.33
NVDA,2024-05-01,2024-11-01,107.19,134.42,25.4,RebalanceExit,564347.71
ARM,2024-11-01,2024-12-02,144.25,134.13,-7.02,RebalanceExit,-68924.21
NVDA,2024-12-02,2025-01-02,138.68,135.72,-2.13,RebalanceExit,-38661.49
SHOP,2025-01-02,2025-02-03,107.55,111.81,3.96,RebalanceExit,82359.56
TSLA,2025-02-03,2025-02-12,386.88,329.76,-14.76,StopLoss,-346230.5
TSLA,2025-03-03,2025-03-11,300.5,225.19,-25.06,StopLoss,-326089.77
NET,2025-04-01,2025-04-07,114.22,90.92,-20.4,StopLoss,-249606.2
PLTR,2024-10-01,2025-04-15,47.45,93.48,97.03,MacroBearCash,5387761.98
GILD,2025-05-01,2025-06-02,102.16,105.66,3.43,RebalanceExit,47602.53
NFLX,2025-06-02,2025-07-01,120.18,133.75,11.29,RebalanceExit,306374.15
NET,2025-07-01,2025-11-03,196.1,254.77,29.92,RebalanceExit,1247636.74
PLTR,2025-05-01,2025-12-01,135.27,164.91,21.92,RebalanceExit,3416772.42
AMD,2025-12-01,2026-01-02,213.99,218.78,2.24,RebalanceExit,97370.94
INTC,2026-01-02,2026-02-02,37.79,45.61,20.68,RebalanceExit,580323.25
LRCX,2026-02-02,2026-05-01,233.0,254.83,9.37,RebalanceExit,981335.09
MRNA,2026-05-01,2026-06-01,46.66,47.05,0.83,RebalanceExit,124257.29
INTC,2026-06-01,2026-07-27,109.48,92.41,-15.59,StopLoss,-18842163.27
INTC,2026-08-03,2026-09-01,88.44,86.79,-1.87,RebalanceExit,-184467.3
