date,equity,cash,borrowed,holdings_val,leverage,drawdown,num_positions,active_holdings,regime
2024-04-05,102688.31,0.0,2886.07,105574.39,1.03,19.66,2,"SMCI,SOXL",Bull_LowVol
2024-04-08,101114.86,0.0,2886.07,104000.94,1.03,20.89,2,"SMCI,SOXL",Bull_LowVol
2024-04-09,99586.81,0.0,2886.07,102472.89,1.03,22.09,2,"SMCI,SOXL",Bull_LowVol
2024-04-10,98896.0,0.0,2886.07,101782.07,1.03,22.63,2,"SMCI,SOXL",Bull_LowVol
2024-04-11,102748.35,0.0,2886.07,105634.42,1.03,19.62,2,"SMCI,SOXL",Bull_LowVol
2024-04-12,97251.86,0.0,2886.07,100137.93,1.03,23.92,2,"SMCI,SOXL",Bull_LowVol
2024-04-15,94980.56,15752.93,0.0,79227.63,0.83,25.69,1,SMCI,Bull_LowVol
2024-04-16,103376.76,15752.93,0.0,87623.83,0.85,19.13,1,SMCI,Bull_LowVol
2024-04-17,101921.0,15752.93,0.0,86168.07,0.85,20.26,1,SMCI,Bull_LowVol
2024-04-18,99084.87,15752.93,0.0,83331.94,0.84,22.48,1,SMCI,Bull_LowVol
2024-04-19,81386.61,81386.61,0.0,0.0,0.0,36.33,0,CASH_BIL,Bull_LowVol
2024-04-22,81386.61,81386.61,0.0,0.0,0.0,36.33,0,CASH_BIL,Bull_LowVol
2024-04-23,81386.61,81386.61,0.0,0.0,0.0,36.33,0,CASH_BIL,Bull_MidVol
2024-04-24,81386.61,81386.61,0.0,0.0,0.0,36.33,0,CASH_BIL,Bull_MidVol
2024-04-25,81386.61,81386.61,0.0,0.0,0.0,36.33,0,CASH_BIL,Bull_MidVol
2024-04-26,81386.61,81386.61,0.0,0.0,0.0,36.33,0,CASH_BIL,Bull_MidVol
2024-04-29,81386.61,81386.61,0.0,0.0,0.0,36.33,0,CASH_BIL,Bull_MidVol
2024-04-30,89070.99,0.0,84.18,89155.17,1.0,30.32,2,"SMCI,SOXL",Bull_MidVol
2024-05-01,77259.43,0.0,84.18,77343.6,1.0,39.56,2,"SMCI,SOXL",Bull_MidVol
2024-05-02,80226.39,0.0,84.18,80310.57,1.0,37.24,2,"SMCI,SOXL",Bull_MidVol
2024-05-03,83053.49,0.0,84.18,83137.67,1.0,35.02,2,"SMCI,SOXL",Bull_MidVol
2024-05-06,88095.69,0.0,84.18,88179.87,1.0,31.08,2,"SMCI,SOXL",Bull_MidVol
2024-05-07,86745.26,0.0,84.18,86829.43,1.0,32.14,2,"SMCI,SOXL",Bull_MidVol
2024-05-08,87048.4,0.0,84.18,87132.58,1.0,31.9,2,"SMCI,SOXL",Bull_MidVol
2024-05-09,84924.0,0.0,84.18,85008.18,1.0,33.56,2,"SMCI,SOXL",Bull_MidVol
2024-05-10,85306.21,0.0,84.18,85390.39,1.0,33.26,2,"SMCI,SOXL",Bull_MidVol
2024-05-13,84096.16,0.0,84.18,84180.34,1.0,34.21,2,"SMCI,SOXL",Bull_MidVol
2024-05-14,88288.99,0.0,84.18,88373.17,1.0,30.93,2,"SMCI,SOXL",Bull_MidVol
