Ticker,EntryDate,ExitDate,EP,XP,Ret,Reason,GainLoss
THC,2014-09-24,2014-10-10,62.37,55.68,-10.72,StopLoss,-7832.02
UTHR,2014-10-08,2014-11-10,131.28,124.76,-4.97,RankDrop,-2543.4
MNST,2014-10-10,2014-11-10,8.04,9.0,11.99,RankDrop,6128.64
ULTA,2014-11-10,2014-11-24,121.54,125.36,3.15,RankDrop,1881.15
MANH,2014-11-10,2014-12-09,40.2,40.4,0.49,RankDrop,295.64
EPAM,2014-11-24,2014-12-23,49.11,48.35,-1.56,RankDrop,-910.8
INCY,2014-12-09,2015-01-23,76.28,77.22,1.23,RankDrop,775.5
IONS,2015-01-23,2015-02-05,70.56,61.75,-12.48,StopLoss,-7724.8
AXON,2014-12-23,2015-02-23,26.71,27.7,3.68,RankDrop,2223.2
HALO,2015-02-23,2015-03-23,15.39,14.24,-7.51,RankDrop,-4766.39
NBIX,2015-02-05,2015-03-25,33.98,41.73,22.82,TrendExit,12228.86
NBIX,2015-03-25,2015-03-26,41.8,35.58,-14.9,StopLoss,-9858.36
CACC,2015-03-26,2015-06-03,189.17,226.65,19.81,TrendExit,10832.69
OLED,2015-03-23,2015-06-17,41.81,49.63,18.69,TrendExit,12175.95
BLDR,2015-06-03,2015-07-01,12.51,13.03,4.15,RankDrop,3243.67
HALO,2015-07-01,2015-08-12,23.44,20.06,-14.42,StopLoss,-11643.12
NFLX,2015-06-17,2015-08-21,9.52,10.61,11.46,TrendExit,9195.75
COKE,2015-08-12,2015-08-24,14.88,13.39,-9.97,MacroShield,-8992.09
POST,2015-08-21,2015-08-24,41.96,40.28,-4.01,MacroShield,-1508.55
COKE,2015-10-23,2015-11-05,19.94,16.33,-18.1,StopLoss,-10720.58
SNX,2015-10-23,2015-11-20,41.17,42.81,3.98,RankDrop,2356.65
TYL,2015-11-05,2015-12-07,171.86,179.07,4.19,RankDrop,2333.96
ADSK,2015-12-07,2016-01-06,65.56,59.4,-9.38,RankDrop,-5635.54
KLAC,2015-11-20,2016-01-07,5.59,5.45,-2.54,MacroShield,-1459.32
OLED,2016-01-06,2016-01-07,48.61,47.39,-2.5,MacroShield,-689.58
AU,2016-03-18,2016-03-29,11.01,10.78,-2.05,MacroShield,-1064.76
MSM,2016-03-18,2016-03-29,46.39,46.3,-0.19,MacroShield,-97.43
AU,2016-04-04,2016-04-29,11.17,12.98,16.19,MacroShield,8202.57
NEM,2016-04-04,2016-04-29,20.78,25.98,25.04,MacroShield,12682.82
OKE,2016-05-31,2016-06-20,23.17,24.95,7.67,MacroShield,5482.84
CZR,2016-05-31,2016-06-20,14.52,14.48,-0.3,MacroShield,-216.54
AMD,2016-07-13,2016-09-08,5.54,6.64,19.71,TrendExit,21812.63
KTOS,2016-09-08,2016-09-22,6.81,6.72,-1.46,RankDrop,-2063.08
EXEL,2016-07-13,2016-09-29,8.33,12.97,55.77,TrendExit,56301.54
ASND,2016-09-29,2016-10-06,20.81,20.26,-2.68,RankDrop,-3918.83
AAOI,2016-09-22,2016-10-20,22.01,20.12,-8.62,RankDrop,-14992.94
LITE,2016-10-06,2016-10-28,43.4,37.47,-13.65,StopLoss,-21633.32
TPL,2016-10-20,2016-11-03,27.59,25.82,-6.44,RankDrop,-7952.39
FWONA,2016-10-28,2016-12-02,26.11,29.18,11.77,TrendExit,12062.98
FWONK,2016-11-03,2016-12-02,26.04,29.41,12.95,TrendExit,6733.67
STLD,2016-12-02,2017-02-01,30.22,28.32,-6.28,RankDrop,-7820.24
KEY,2016-12-02,2017-02-01,12.03,12.02,-0.05,RankDrop,-60.75
SLM,2017-02-01,2017-02-15,10.34,10.73,3.86,RankDrop,3931.18
ESI,2017-02-01,2017-03-30,11.29,12.02,6.48,RankDrop,6606.87
AAOI,2017-03-30,2017-04-05,58.11,51.26,-11.78,StopLoss,-14740.98
NRG,2017-02-15,2017-04-13,13.68,15.3,11.85,RankDrop,13248.57
ANET,2017-04-13,2017-05-26,8.48,9.25,9.11,RankDrop,13413.74
OLED,2017-04-05,2017-06-13,85.67,113.53,32.52,TrendExit,46418.24
W,2017-05-26,2017-07-11,64.03,73.83,15.31,TrendExit,24797.67
MOH,2017-06-13,2017-07-25,67.51,70.42,4.31,RankDrop,8048.56
KTOS,2017-07-25,2017-07-31,12.49,11.01,-11.81,StopLoss,-24214.93
W,2017-07-11,2017-08-18,75.18,67.44,-10.3,StopLoss,-20808.18
EXEL,2017-08-18,2017-09-20,27.57,27.88,1.12,RankDrop,1682.44
NRG,2017-07-31,2017-10-04,20.64,21.28,3.13,RankDrop,5818.94
CORT,2017-09-20,2017-11-01,17.88,19.74,10.38,RankDrop,16036.08
MDGL,2017-10-04,2017-11-15,43.92,41.19,-6.2,RankDrop,-11108.43
ALNY,2017-11-01,2017-11-30,123.51,129.34,4.71,RankDrop,9660.82
XYZ,2017-11-15,2017-11-30,41.18,39.24,-4.69,RankDrop,-8450.43
ALGN,2017-11-30,2017-12-05,260.12,224.87,-13.55,StopLoss,-23022.35
MDGL,2017-12-05,2017-12-14,48.19,80.95,67.97,RankDrop,92703.6
TREX,2017-11-30,2017-12-29,28.86,27.46,-4.84,RankDrop,-11600.9
NTNX,2017-12-14,2018-01-30,35.37,31.37,-11.31,RankDrop,-25524.33
MDGL,2017-12-29,2018-02-09,93.6,133.14,42.25,MacroShield,97517.74
VKTX,2018-01-30,2018-02-09,5.65,6.36,12.43,MacroShield,32150.9
ARWR,2018-03-14,2018-03-23,7.7,6.95,-9.85,StopLoss,-32694.13
VIRT,2018-03-14,2018-03-28,24.07,24.62,2.29,MacroShield,7603.74
ASND,2018-03-23,2018-03-28,64.74,60.21,-7.0,MacroShield,-10183.15
NTNX,2018-04-26,2018-05-24,54.58,56.03,2.65,RankDrop,6977.7
DINO,2018-05-24,2018-06-22,56.75,56.45,-0.54,RankDrop,-2146.91
VICR,2018-04-26,2018-06-26,37.02,44.32,19.72,TrendExit,56190.4
ARWR,2018-06-26,2018-08-02,13.42,14.97,11.58,TrendExit,39805.46
TTD,2018-06-22,2018-08-06,9.26,8.69,-6.15,RankDrop,-23063.12
CVNA,2018-08-06,2018-09-07,9.06,11.65,28.6,TrendExit,104747.66
NTRA,2018-08-02,2018-09-18,24.25,23.78,-1.95,RankDrop,-8896.46
TTD,2018-09-18,2018-10-11,14.25,11.79,-17.23,StopLoss,-98618.82
AMD,2018-09-07,2018-10-12,26.97,26.75,-0.82,MacroShield,-4231.14
VNOM,2018-10-11,2018-10-12,23.92,24.37,1.86,MacroShield,3076.2
MTCH,2018-10-16,2018-10-19,49.86,49.79,-0.15,MacroShield,-267.37
OLLI,2018-10-16,2018-10-19,89.71,89.63,-0.08,MacroShield,-151.33
LSCC,2019-02-27,2019-03-08,12.02,12.44,3.54,MacroShield,12136.68
MTCH,2019-02-27,2019-03-08,52.75,50.86,-3.59,MacroShield,-12299.77
AXSM,2019-03-13,2019-03-27,10.19,16.16,58.66,RankDrop,200708.82
INSM,2019-03-13,2019-04-10,29.63,31.71,7.01,RankDrop,38158.72
MDB,2019-04-10,2019-04-25,137.08,136.8,-0.2,RankDrop,-1236.26
LSCC,2019-03-27,2019-05-09,12.23,13.69,11.99,RankDrop,61491.5
CVNA,2019-04-25,2019-05-23,13.24,12.93,-2.29,RankDrop,-14323.11
AXSM,2019-05-09,2019-06-04,18.68,23.15,23.91,MacroShield,165206.21
ENPH,2019-05-23,2019-06-04,15.11,15.91,5.31,MacroShield,22861.79
OKTA,2019-06-07,2019-08-19,128.28,129.93,1.29,RankDrop,17989.44
ENPH,2019-06-07,2019-08-20,16.78,33.23,97.99,MacroShield,738559.98
AU,2019-08-19,2019-08-20,16.99,17.27,1.62,MacroShield,12233.25
DRS,2019-09-17,2019-09-30,5.36,4.77,-10.94,StopLoss,-155723.3
MTSI,2019-09-30,2019-10-15,21.71,21.38,-1.54,RankDrop,-21680.81
SAIA,2019-09-17,2019-11-12,94.25,99.52,5.59,RankDrop,79546.31
NTRA,2019-10-15,2019-11-12,38.25,37.36,-2.33,RankDrop,-33212.91
CROX,2019-11-12,2019-12-11,35.51,35.55,0.1,RankDrop,1779.19
ADT,2019-11-12,2019-12-17,6.01,6.84,13.84,TrendExit,200030.59
ARWR,2019-12-11,2019-12-23,70.66,64.61,-8.55,StopLoss,-149487.85
AXSM,2019-12-17,2020-01-10,80.04,87.31,9.08,RankDrop,137596.72
UI,2019-12-23,2020-01-27,175.49,160.28,-8.67,RankDrop,-163467.58
THC,2020-01-10,2020-01-27,36.58,33.6,-8.14,RankDrop,-113716.72
TSLA,2020-01-27,2020-02-10,36.15,53.3,47.45,RankDrop,642864.21
WDC,2020-02-10,2020-02-25,49.32,47.22,-4.27,RankDrop,-97282.75
ALB,2020-02-25,2020-02-28,83.12,71.75,-13.68,StopLoss,-395144.21
ENPH,2020-01-27,2020-02-28,33.38,45.59,36.58,MacroShield,732814.88
W,2020-06-04,2020-06-29,180.79,200.79,11.06,MacroShield,247678.67
TWLO,2020-06-04,2020-06-29,201.28,220.91,9.75,MacroShield,218329.3
SPOT,2020-07-17,2020-07-31,267.22,264.49,-1.02,RankDrop,-24815.68
XYZ,2020-07-17,2020-09-04,121.04,149.55,23.55,MacroShield,572472.76
LAD,2020-07-31,2020-09-04,228.05,239.3,4.93,MacroShield,163857.94
FDX,2020-10-26,2020-10-29,203.0,188.46,-7.16,MacroShield,-219622.29
SITM,2020-10-26,2020-10-29,92.64,87.49,-5.55,MacroShield,-170296.9
NET,2020-12-08,2021-01-07,82.2,74.36,-9.54,StopLoss,-287759.59
OLN,2020-12-08,2021-01-07,19.56,24.47,25.06,RankDrop,755969.74
CHRD,2021-01-07,2021-01-22,25.4,24.29,-4.39,RankDrop,-139127.91
MSTR,2021-01-07,2021-01-22,52.16,52.47,0.6,RankDrop,19121.48
CELH,2021-01-22,2021-01-29,20.91,18.65,-10.81,StopLoss,-329531.99
BE,2021-01-22,2021-02-18,37.02,31.04,-16.14,StopLoss,-492096.77
MSTR,2021-01-29,2021-02-22,68.03,87.05,27.95,RankDrop,669283.93
PPLI,2021-02-22,2021-03-05,141.15,126.38,-10.46,StopLoss,-262757.87
AR,2021-02-18,2021-03-09,9.3,9.77,5.05,MacroShield,142872.05
WBD,2021-03-05,2021-03-09,63.71,66.84,4.91,MacroShield,68458.57
TPL,2021-04-20,2021-06-02,160.66,155.24,-3.37,RankDrop,-112148.96
